,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL
2715, Securities Regulations,Accy 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/patterson-accountancy/accy-650
2768, Introduction to Homeland Security,CJ 115,"The issues pertaining to the role and mission of the Department of
Homeland Security and related agencies, both domestic and international.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-115
2781, Homeland Security Operations,CJ 400,"An examination of government agencies that are involved in war on
terrorism and discussion of weapons of mass destruction issues.
Discussion of various international terrorist groups and their
respoective ideologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-400
2783, Homeland Security Law,CJ 420,"Examination of current domestic legal issues relating to homeland
security with an emphasis on Constitutional separation of powers and
First, Fifth, Fourth, Sixth, Eighth Amendment requirements, the Foreign
Intelligence Surveillance Act (FISA), and the USA Patriot Act, and
similar laws.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-420
2788, Border Security,CJ 470,"This course provides the student with an analysis of the problems that
concern the protection of the borders of the United States.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-470
2793, Homeland Security Operations,CJ 610,"An examination of issues pertaining to the role and mission
of the Department of Homeland Security and related agencies,
both domestically and internationally.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-610
2803, Cybercrime and Cyber Security,CJ 642,"Overview of current issues surrounding the technical, social, and legal
aspects of cybercrime and security from a policy perspective. Includes
review of concepts and issues of cybercrime and cybersecurity, such as
security issues in computer systems, networks, and applications.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-642
2804, Terrorism and Homeland Security,CJ 650,"An examination of facts of terrorism, methods of terrorism, goals
of terrorism from a homeland security/terrorism deterrence approach.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-650
2809, Transportation and Border Security,CJ 665,"This course provides students with analysis concerning the
protection of U.S. borders and policies regarding safety of the
U.S. transportation system.  The course analyzes the changes in
security arrangements from the pre- to post- 9/11 policies, relative
to border and transportation security.  The course will examine the
Maritime Transportation Security Act as it pertains to homeland
security.  Drugs and immigration with regard to homeland security will
also be addressed.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-665
2810, Intelligence and Homeland Security,CJ 670,"Advanced course on intelligence and counterintelligence aspects
of homeland security as they relate to domestic security,
emergency, preparedness, technology policy, and timely
intelligence for improved policymaking.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/applied-sciences/legal-studies/cj-670
2827, Fundamentals of Computer Security,Csci 427,"This course explores the concepts and methods of computer security and
the appropriate tools to identify and remedy vulnerabilities across
leading network and systems platforms. It emphasizes both offensive and
defensive analysis tools, including scanners, sniffers, intrusion
detection systems, access control lists, and firewalls. It stresses
adherence to professional guidelines for ethical hacking and security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/engineering/computer-science/csci-427
2910, Security Analysis and Portfolio Mgmt,Fin 533,"Impact of economic factors and security markets upon security value;
risk and return in efficient portfolios.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/business/finance/fin-533
3147, Secured Transactions,Law 571,"Theoretical and practical justifications for the creation of security
interests in personal property.  Emphasis is on Articles 1, 2A, and 9 of
the Uniform Commercial Code and bankruptcy law.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/law/law-571
3212, Securities Regulation,Law 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/law/law-650
3222, International Security Law and Policy,Law 658,"Legal issues relating to war and armed conflict, separation of
constitutional powers, emergency powers, the security role of the United
Nations and the strengthening of the enforcement of international
humanitarian law; related political, military, and diplomatic
ramifications.",2 - 3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/law/law-658
3315, Space Security Law,Law 736,"Space Security Law addresses a wide variety of national and
international legal issues dealing with both the security of the space
environment and national security derived from reliance on space assets,
such as telecommunications satellites, remote sensing satellites and
launch technologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/law/law-736
3601, International Security Law and Policy,Pol 736,"This course explores the complexities of the international law of
conflict management and the legal structure for resolving international
disputes.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/liberal-arts/political-science/pol-736
3626, Homeland Security Policy,PPL 362,"This course examines all facets of homeland security in the United
States. It includes a review of the historical and contemporary
governmental theories and practices of homeland security at both the
public and private levels. Other topics to be presented include the
threat of terrorism, counterterrorism, governmental policy,
intelligence, and investigative techniques that support this overall
objective.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/liberal-arts/public-policy-leadership/ppl-362
3732, Studies in Housing Insecurity,Soc 420,"For the majority of low-income American families, housing is their
biggest expense, and often their biggest stressor. Research is clear
that the dynamics of housing exert an enormous influence on one's
health, job stability, educational success, and other matters we deem
important to well-being. Debates about how to provide affordable and
secure housing for all are widespread, and heated. This course examines
these issues firsthand through the collection and analysis of original
data in the Lafayette-Oxford-University community.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,secur,https://catalog.olemiss.edu/2019/spring/liberal-arts/sociology-anthropology/soc-420
3792, Securities Regulations,Accy 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/patterson-accountancy/accy-650
3845, Introduction to Homeland Security,CJ 115,"The issues pertaining to the role and mission of the Department of
Homeland Security and related agencies, both domestic and international.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-115
3858, Homeland Security Operations,CJ 400,"An examination of government agencies that are involved in war on
terrorism and discussion of weapons of mass destruction issues.
Discussion of various international terrorist groups and their
respoective ideologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-400
3860, Homeland Security Law,CJ 420,"Examination of current domestic legal issues relating to homeland
security with an emphasis on Constitutional separation of powers and
First, Fifth, Fourth, Sixth, Eighth Amendment requirements, the Foreign
Intelligence Surveillance Act (FISA), and the USA Patriot Act, and
similar laws.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-420
3865, Border Security,CJ 470,"This course provides the student with an analysis of the problems that
concern the protection of the borders of the United States.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-470
3876, Seminar in Homeland Security,CJ 630,"Examines security theories, research, and practice related to the
administration of security operations. Reviews topics such as risk
assessment, risk prevention, and protection of assets, with particular
emphasis on the role of criminal justice and security systems.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-630
3880, Critical Infrastructure Security,CJ 636,"Review of U.S. counterterrorism policies and practices for the security
of U.S. major critical infrastructures, including transportation and
border security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-636
3881, Cybercrime and Cyber Security,CJ 642,"Overview of current issues surrounding the technical, social, and legal
aspects of cybercrime and security from a policy perspective. Includes
review of concepts and issues of cybercrime and cybersecurity, such as
security issues in computer systems, networks, and applications.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-642
3889, Intelligence and Homeland Security,CJ 670,"Advanced course on intelligence and counterintelligence aspects
of homeland security as they relate to domestic security,
emergency, preparedness, technology policy, and timely
intelligence for improved policymaking.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-670
3905, Fundamentals of Computer Security,Csci 427,"This course explores the concepts and methods of computer security and
the appropriate tools to identify and remedy vulnerabilities across
leading network and systems platforms. It emphasizes both offensive and
defensive analysis tools, including scanners, sniffers, intrusion
detection systems, access control lists, and firewalls. It stresses
adherence to professional guidelines for ethical hacking and security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/engineering/computer-science/csci-427
3988, Security Analysis and Portfolio Mgmt,Fin 533,"Impact of economic factors and security markets upon security value;
risk and return in efficient portfolios.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/business/finance/fin-533
4224, Secured Transactions,Law 571,"Theoretical and practical justifications for the creation of security
interests in personal property.  Emphasis is on Articles 1, 2A, and 9 of
the Uniform Commercial Code and bankruptcy law.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-571
4289, Securities Regulation,Law 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-650
4299, International Security Law and Policy,Law 658,"Legal issues relating to war and armed conflict, separation of
constitutional powers, emergency powers, the security role of the United
Nations and the strengthening of the enforcement of international
humanitarian law; related political, military, and diplomatic
ramifications.",2 - 3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-658
4392, Space Security Law,Law 736,"Space Security Law addresses a wide variety of national and
international legal issues dealing with both the security of the space
environment and national security derived from reliance on space assets,
such as telecommunications satellites, remote sensing satellites and
launch technologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-736
4677, International Security Law and Policy,Pol 736,"This course explores the complexities of the international law of
conflict management and the legal structure for resolving international
disputes.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/political-science/pol-736
4702, Homeland Security Policy,PPL 362,"This course examines all facets of homeland security in the United
States. It includes a review of the historical and contemporary
governmental theories and practices of homeland security at both the
public and private levels. Other topics to be presented include the
threat of terrorism, counterterrorism, governmental policy,
intelligence, and investigative techniques that support this overall
objective.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/public-policy-leadership/ppl-362
4806, Studies in Housing Insecurity,Soc 420,"For the majority of low-income American families, housing is their
biggest expense, and often their biggest stressor. Research is clear
that the dynamics of housing exert an enormous influence on one's
health, job stability, educational success, and other matters we deem
important to well-being. Debates about how to provide affordable and
secure housing for all are widespread, and heated. This course examines
these issues firsthand through the collection and analysis of original
data in the Lafayette-Oxford-University community.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-420
4929, Securities Regulations,Accy 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/patterson-accountancy/accy-650
4982, Introduction to Homeland Security,CJ 115,"The issues pertaining to the role and mission of the Department of
Homeland Security and related agencies, both domestic and international.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-115
4995, Homeland Security Operations,CJ 400,"An examination of government agencies that are involved in war on
terrorism and discussion of weapons of mass destruction issues.
Discussion of various international terrorist groups and their
respoective ideologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-400
4997, Homeland Security Law,CJ 420,"Examination of current domestic legal issues relating to homeland
security with an emphasis on Constitutional separation of powers and
First, Fifth, Fourth, Sixth, Eighth Amendment requirements, the Foreign
Intelligence Surveillance Act (FISA), and the USA Patriot Act, and
similar laws.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-420
5002, Border Security,CJ 470,"This course provides the student with an analysis of the problems that
concern the protection of the borders of the United States.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-470
5013, Seminar in Homeland Security,CJ 630,"Examines security theories, research, and practice related to the
administration of security operations. Reviews topics such as risk
assessment, risk prevention, and protection of assets, with particular
emphasis on the role of criminal justice and security systems.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-630
5017, Critical Infrastructure Security,CJ 636,"Review of U.S. counterterrorism policies and practices for the security
of U.S. major critical infrastructures, including transportation and
border security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-636
5018, Cybercrime and Cyber Security,CJ 642,"Overview of current issues surrounding the technical, social, and legal
aspects of cybercrime and security from a policy perspective. Includes
review of concepts and issues of cybercrime and cybersecurity, such as
security issues in computer systems, networks, and applications.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-642
5026, Intelligence and Homeland Security,CJ 670,"Advanced course on intelligence and counterintelligence aspects
of homeland security as they relate to domestic security,
emergency, preparedness, technology policy, and timely
intelligence for improved policymaking.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-670
5042, Fundamentals of Computer Security,Csci 427,"This course explores the concepts and methods of computer security and
the appropriate tools to identify and remedy vulnerabilities across
leading network and systems platforms. It emphasizes both offensive and
defensive analysis tools, including scanners, sniffers, intrusion
detection systems, access control lists, and firewalls. It stresses
adherence to professional guidelines for ethical hacking and security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/engineering/computer-science/csci-427
5125, Security Analysis and Portfolio Mgmt,Fin 533,"Impact of economic factors and security markets upon security value;
risk and return in efficient portfolios.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/business/finance/fin-533
5361, Secured Transactions,Law 571,"Theoretical and practical justifications for the creation of security
interests in personal property.  Emphasis is on Articles 1, 2A, and 9 of
the Uniform Commercial Code and bankruptcy law.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-571
5426, Securities Regulation,Law 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-650
5436, International Security Law and Policy,Law 658,"Legal issues relating to war and armed conflict, separation of
constitutional powers, emergency powers, the security role of the United
Nations and the strengthening of the enforcement of international
humanitarian law; related political, military, and diplomatic
ramifications.",2 - 3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-658
5529, Space Security Law,Law 736,"Space Security Law addresses a wide variety of national and
international legal issues dealing with both the security of the space
environment and national security derived from reliance on space assets,
such as telecommunications satellites, remote sensing satellites and
launch technologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-736
5814, International Security Law and Policy,Pol 736,"This course explores the complexities of the international law of
conflict management and the legal structure for resolving international
disputes.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/liberal-arts/political-science/pol-736
5839, Homeland Security Policy,PPL 362,"This course examines all facets of homeland security in the United
States. It includes a review of the historical and contemporary
governmental theories and practices of homeland security at both the
public and private levels. Other topics to be presented include the
threat of terrorism, counterterrorism, governmental policy,
intelligence, and investigative techniques that support this overall
objective.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/liberal-arts/public-policy-leadership/ppl-362
5943, Studies in Housing Insecurity,Soc 420,"For the majority of low-income American families, housing is their
biggest expense, and often their biggest stressor. Research is clear
that the dynamics of housing exert an enormous influence on one's
health, job stability, educational success, and other matters we deem
important to well-being. Debates about how to provide affordable and
secure housing for all are widespread, and heated. This course examines
these issues firsthand through the collection and analysis of original
data in the Lafayette-Oxford-University community.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/liberal-arts/sociology-anthropology/soc-420
6080, Securities Regulations,Accy 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/patterson-accountancy/accy-650
6133, Introduction to Homeland Security,CJ 115,"The issues pertaining to the role and mission of the Department of
Homeland Security and related agencies, both domestic and international.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-115
6146, Homeland Security Operations,CJ 400,"An examination of government agencies that are involved in war on
terrorism and discussion of weapons of mass destruction issues.
Discussion of various international terrorist groups and their
respoective ideologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-400
6148, Homeland Security Law,CJ 420,"Examination of current domestic legal issues relating to homeland
security with an emphasis on Constitutional separation of powers and
First, Fifth, Fourth, Sixth, Eighth Amendment requirements, the Foreign
Intelligence Surveillance Act (FISA), and the USA Patriot Act, and
similar laws.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-420
6153, Border Security,CJ 470,"This course provides the student with an analysis of the problems that
concern the protection of the borders of the United States.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-470
6164, Seminar in Homeland Security,CJ 630,"Examines security theories, research, and practice related to the
administration of security operations. Reviews topics such as risk
assessment, risk prevention, and protection of assets, with particular
emphasis on the role of criminal justice and security systems.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-630
6168, Critical Infrastructure Security,CJ 636,"Review of U.S. counterterrorism policies and practices for the security
of U.S. major critical infrastructures, including transportation and
border security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-636
6169, Cybercrime and Cyber Security,CJ 642,"Overview of current issues surrounding the technical, social, and legal
aspects of cybercrime and security from a policy perspective. Includes
review of concepts and issues of cybercrime and cybersecurity, such as
security issues in computer systems, networks, and applications.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-642
6177, Intelligence and Homeland Security,CJ 670,"Advanced course on intelligence and counterintelligence aspects
of homeland security as they relate to domestic security,
emergency, preparedness, technology policy, and timely
intelligence for improved policymaking.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-670
6193, Fundamentals of Computer Security,Csci 427,"This course explores the concepts and methods of computer security and
the appropriate tools to identify and remedy vulnerabilities across
leading network and systems platforms. It emphasizes both offensive and
defensive analysis tools, including scanners, sniffers, intrusion
detection systems, access control lists, and firewalls. It stresses
adherence to professional guidelines for ethical hacking and security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/engineering/computer-science/csci-427
6276, Security Analysis and Portfolio Mgmt,Fin 533,"Impact of economic factors and security markets upon security value;
risk and return in efficient portfolios.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/business/finance/fin-533
6512, Secured Transactions,Law 571,"Theoretical and practical justifications for the creation of security
interests in personal property.  Emphasis is on Articles 1, 2A, and 9 of
the Uniform Commercial Code and bankruptcy law.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-571
6577, Securities Regulation,Law 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-650
6587, International Security Law and Policy,Law 658,"Legal issues relating to war and armed conflict, separation of
constitutional powers, emergency powers, the security role of the United
Nations and the strengthening of the enforcement of international
humanitarian law; related political, military, and diplomatic
ramifications.",2 - 3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-658
6680, Space Security Law,Law 736,"Space Security Law addresses a wide variety of national and
international legal issues dealing with both the security of the space
environment and national security derived from reliance on space assets,
such as telecommunications satellites, remote sensing satellites and
launch technologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-736
6965, International Security Law and Policy,Pol 736,"This course explores the complexities of the international law of
conflict management and the legal structure for resolving international
disputes.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/political-science/pol-736
6990, Homeland Security Policy,PPL 362,"This course examines all facets of homeland security in the United
States. It includes a review of the historical and contemporary
governmental theories and practices of homeland security at both the
public and private levels. Other topics to be presented include the
threat of terrorism, counterterrorism, governmental policy,
intelligence, and investigative techniques that support this overall
objective.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/public-policy-leadership/ppl-362
7094, Studies in Housing Insecurity,Soc 420,"For the majority of low-income American families, housing is their
biggest expense, and often their biggest stressor. Research is clear
that the dynamics of housing exert an enormous influence on one's
health, job stability, educational success, and other matters we deem
important to well-being. Debates about how to provide affordable and
secure housing for all are widespread, and heated. This course examines
these issues firsthand through the collection and analysis of original
data in the Lafayette-Oxford-University community.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-420
7217, Securities Regulations,Accy 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/patterson-accountancy/accy-650
7270, Introduction to Homeland Security,CJ 115,"The issues pertaining to the role and mission of the Department of
Homeland Security and related agencies, both domestic and international.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-115
7283, Homeland Security Operations,CJ 400,"An examination of government agencies that are involved in war on
terrorism and discussion of weapons of mass destruction issues.
Discussion of various international terrorist groups and their
respoective ideologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-400
7285, Homeland Security Law,CJ 420,"Examination of current domestic legal issues relating to homeland
security with an emphasis on Constitutional separation of powers and
First, Fifth, Fourth, Sixth, Eighth Amendment requirements, the Foreign
Intelligence Surveillance Act (FISA), and the USA Patriot Act, and
similar laws.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-420
7290, Border Security,CJ 470,"This course provides the student with an analysis of the problems that
concern the protection of the borders of the United States.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-470
7301, Seminar in Homeland Security,CJ 630,"Examines security theories, research, and practice related to the
administration of security operations. Reviews topics such as risk
assessment, risk prevention, and protection of assets, with particular
emphasis on the role of criminal justice and security systems.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-630
7305, Critical Infrastructure Security,CJ 636,"Review of U.S. counterterrorism policies and practices for the security
of U.S. major critical infrastructures, including transportation and
border security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-636
7306, Cybercrime and Cyber Security,CJ 642,"Overview of current issues surrounding the technical, social, and legal
aspects of cybercrime and security from a policy perspective. Includes
review of concepts and issues of cybercrime and cybersecurity, such as
security issues in computer systems, networks, and applications.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-642
7314, Intelligence and Homeland Security,CJ 670,"Advanced course on intelligence and counterintelligence aspects
of homeland security as they relate to domestic security,
emergency, preparedness, technology policy, and timely
intelligence for improved policymaking.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-670
7330, Fundamentals of Computer Security,Csci 427,"This course explores the concepts and methods of computer security and
the appropriate tools to identify and remedy vulnerabilities across
leading network and systems platforms. It emphasizes both offensive and
defensive analysis tools, including scanners, sniffers, intrusion
detection systems, access control lists, and firewalls. It stresses
adherence to professional guidelines for ethical hacking and security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/engineering/computer-science/csci-427
7413, Security Analysis and Portfolio Mgmt,Fin 533,"Impact of economic factors and security markets upon security value;
risk and return in efficient portfolios.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/business/finance/fin-533
7649, Secured Transactions,Law 571,"Theoretical and practical justifications for the creation of security
interests in personal property.  Emphasis is on Articles 1, 2A, and 9 of
the Uniform Commercial Code and bankruptcy law.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-571
7714, Securities Regulation,Law 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-650
7724, International Security Law and Policy,Law 658,"Legal issues relating to war and armed conflict, separation of
constitutional powers, emergency powers, the security role of the United
Nations and the strengthening of the enforcement of international
humanitarian law; related political, military, and diplomatic
ramifications.",2 - 3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-658
