,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL,new
342,"Ethnic, Cultural, and Gender Issues in America's Healthcare Systems",M161,"(Same as Health Policy M110.) Lecture, three hours. Designed for juniors/seniors. Introduction to study of gender, ethnicity, and cultural diversity related to health status and healthcare delivery in U.S. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,gender,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=gender&funsel=1,system
397,Selected Topics in Gender Systems,M154Q,"(Formerly numbered M154P.) (Same as Anthropology M145Q.) Lecture, three hours. Recommended preparation: prior anthropology or gender studies courses. Designed for junior/senior social sciences majors. Comparative study of women's lives and gender systems and cultures from anthropological perspective. Critical review of relevant theoretical issues using ethnography, case study, and presentations. Consult Schedule of Classes for topics and instructors. May be repeated for credit with topic change. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,gender,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=gender&funsel=1,system
427,Gender Systems,M263,"(Formerly numbered M263P.) (Same as Anthropology M243.) Seminar, three hours. Current theoretical developments in understanding gender systems cross-culturally, with emphasis on relationship between systems of gender, economy, ideational systems, and social inequality. Selection of ethnographic cases from recent literature. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,gender,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=gender&funsel=1,system
432,"Ethnic, Cultural, and Gender Issues in America's Healthcare Systems",M110,"(Same as Asian American Studies M161.) Lecture, three hours. Designed for juniors/seniors. Introduction to study of gender, ethnicity, and cultural diversity related to health status and healthcare delivery in U.S. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,gender,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=gender&funsel=1,system
483,Organization and Governance of Educational Systems  ,239,"Lecture, four hours. Academic organizations, precollegiate and postsecondary, are most appropriately studied as complex, professionalized organizations. Emphasis on characteristics of educational institutions and systems as organizations: environmental relations, governance structures, processes, and patterns of decision making and policymaking. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,govern,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=govern&funsel=1,system
488,Government Information  ,455,"Lecture, four hours. Introduction to nature and scope of government information promulgated by federal government, as well as by state, municipal, international, and foreign governments. Problem-oriented approach. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,govern,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=govern&funsel=1,inform
555,"Ancient and Historic Metals: Corrosion, Technology, and Microstructure",C180,"Seminar, four hours; laboratory, four hours. Overview of technology of ancient metals, aspects of extraction and alloying, corrosion that ancient metals undergo, and how this impacts their preservation. Exploration of knowledge and research work of last two decades that has substantially advanced understanding of processes of extraction, alloying, surface patination, metallic coatings, corrosion, and microstructure. Laboratory work in preparation and examination of metallic samples under microscope, as well as lectures on technology of metallic works of art. Discussion of phase and stability diagrams of common alloying systems and environments. Metallographic study samples represent Bronze Age Europe, Renaissance Europe, China from Warring States to Tang dynasty, Japanese swordmaking, Indian high-tin bronze alloys, bronzes, Peruvian, Colombian, Costa Rican, and Panamanian copper and gold-copper alloys. Concurrently scheduled with course C280. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
557,"Ancient and Historic Metals: Corrosion, Technology and Microstructure",C280,"Seminar, four hours; laboratory, four hours. Overview of technology of ancient metals, aspects of extraction and alloying, corrosion that ancient metals undergo, and how this impacts their preservation. Exploration of knowledge and research work of last two decades that has substantially advanced understanding of processes of extraction, alloying, surface patination, metallic coatings, corrosion, and microstructure. Laboratory work in preparation and examination of metallic samples under microscope, as well as lectures on technology of metallic works of art. Discussion of phase and stability diagrams of common alloying systems and environments. Metallographic study samples represent Bronze Age Europe, Renaissance Europe, China from Warring States to Tang dynasty, Japanese swordmaking, Indian high-tin bronze alloys, bronzes, Peruvian, Colombian, Costa Rican, and Panamanian copper and gold-copper alloys. Concurrently scheduled with course C180. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
592,"Arts Programs in Correctional Institutions: History, Theory, and Practice",105,"Lecture, three hours; outside study, nine hours. Examination of attitudes of prison arts programming with correctional staff, artists working in prisons, political figures, and community while critically engaging with consequences of correctional environment without outside influence of arts as role model for inspiration and discipline. Selected topics and themes in arts education in correctional institutions explored through variety of approaches that may include readings, visual and audio documentation, discussion, research papers, oral presentations, and relevant guest speakers. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,program
658,Earth Process and Evolutionary History,CM173,"(Same as Ecology and Evolutionary Biology CM173.) Lecture, four hours; laboratory, three hours. Requisites: Chemistry 14A, 14B (or 20A, 20B), Life Sciences 1, 2, 3, and 4, or 7A, 7B, and 7C (or 7A and introductory course in geology). Exploration of relationship between physical processes, such as tectonics and climate, and how they affect surface and impact biology of Earth. Study of evolution of universe, Earth, and life, with integration of history of science, including Darwinian evolution and plate tectonics revolutions. Study of formation of matter offers tools to understand geologic process of climate and ecology of Earth. Past climate change to examine expected future human-influenced climate. Consideration of major events in history of life on Earth. Data and methods from geology, genetics, and geochemistry are integrated to reconstruct past events. This reveals how Earth processes shaped life and how life shaped Earth. Concurrently scheduled with course CM273. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,process
659,Earth Process and Evolutionary History,CM273,"(Same as Ecology and Evolutionary Biology CM228.) Lecture, four hours; laboratory, three hours. Requisites: Chemistry 14A, 14B (or 20A, 20B), Life Sciences 1, 2, 3, and 4, or 7A, 7B, and 7C (or 7A and introductory course in geology). Exploration of relationship between physical processes, such as tectonics and climate, and how they affect surface and impact biology of Earth. Study of evolution of universe, Earth, and life, with integration of history of science, including Darwinian evolution and plate tectonics revolutions. Study of formation of matter offers tools to understand geologic process of climate and ecology of Earth. Past climate change to examine expected future human-influenced climate. Consideration of major events in history of life on Earth. Data and methods from geology, genetics, and geochemistry are integrated to reconstruct past events. This reveals how Earth processes shaped life and how life shaped Earth. Concurrently scheduled with course CM173. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,process
661,Earth Process and Evolutionary History,CM173,"(Same as Earth, Planetary, and Space Sciences CM173.) Lecture, four hours; laboratory, three hours. Requisites: Chemistry 14A, 14B (or 20A, 20B), Life Sciences 1, 2, 3, and 4, or 7A, 7B, and 7C (or 7A and introductory course in geology). Exploration of relationship between physical processes, such as tectonics and climate, and how they affect surface and impact biology of Earth. Study of evolution of universe, Earth, and life, with integration of history of science, including Darwinian evolution and plate tectonics revolutions. Study of formation of matter offers tools to understand geologic process of climate and ecology of Earth. Past climate change to examine expected future human-influenced climate. Consideration of major events in history of life on Earth. Data and methods from geology, genetics, and geochemistry are integrated to reconstruct past events. This reveals how Earth processes shaped life and how life shaped Earth. Concurrently scheduled with course CM228. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,process
662,Earth Process and Evolutionary History,CM228,"(Same as Earth, Planetary, and Space Sciences CM273.) Lecture, four hours; laboratory, three hours. Requisites: Chemistry 14A, 14B (or 20A, 20B), Life Sciences 1, 2, 3, and 4, or 7A, 7B, and 7C (or 7A and introductory course in geology). Exploration of relationship between physical processes, such as tectonics and climate, and how they affect surface and impact biology of Earth. Study of evolution of universe, Earth, and life, with integration of history of science, including Darwinian evolution and plate tectonics revolutions. Study of formation of matter offers tools to understand geologic process of climate and ecology of Earth. Past climate change to examine expected future human-influenced climate. Consideration of major events in history of life on Earth. Data and methods from geology, genetics, and geochemistry are integrated to reconstruct past events. This reveals how Earth processes shaped life and how life shaped Earth. Concurrently scheduled with course CM173. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,process
706,"Youth Culture and MTV: Technology, History, Politics",98TA,"Seminar, three hours. Requisite: satisfaction of Entry-Level Writing requirement. Freshmen/sophomores preferred. Examination of historical development of MTV as cultural force in production and distribution of music programming. Interrogation of how MTV responded to shifts in taste of youth audiences across its almost four-decade history. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
796,Introduction to Historical Practice: Variable Topics in History of Science/Technology,97I,"Seminar, three hours. Discussion classes of no more than 15 students. Introduction to study of history, with emphasis on historical theory and research methods. Variable topics courses; consult Schedule of Classes for topics to be offered in specific term. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
960,Variable Topics Historiography Proseminar: Science/Technology,187I,"Seminar, three hours. Proseminar on historiography involving close reading and critical discussion of secondary scholarship and primary sources on selected topics. Reading, discussion, and analytical writing culminating in one or several historiographical essays. May be repeated once for credit. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
975,Capstone Seminar: History--Science/Technology,191I,"Seminar, three hours. Designed for seniors. Limited to 15 students meeting with faculty member. Organized on topics basis with reading, discussion, and development of culminating project. May be repeated once for credit. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
983,Capstone Seminar: History--Digital History,191Q,"Seminar, three hours. Designed for seniors. Limited to 15 students meeting with faculty member. Organized on topics basis with reading, discussion, and development of culminating project. May be repeated once for credit. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,digit
1004,Advanced Historiography: Science/Technology,200O,"Seminar, three hours. May be repeated for credit.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
1030,Topics in History: Science/Technology,201O,"Seminar, three hours. Graduate course involving reading, lecturing, and discussion of selected topics. May be repeated for credit. When concurrently scheduled with course 191, undergraduates must obtain consent of instructor to enroll. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
1037,Topics in History: Digital History,201V,"Seminar, three hours. Graduate course involving reading, lecturing, and discussion of selected topics. May be repeated for credit. When concurrently scheduled with course 191, undergraduates must obtain consent of instructor to enroll. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,digit
1155,History of Books and Literacy Technologies,202,"Lecture, two hours; discussion, 90 minutes. Issues in history of books, writing, and literacy technologies. Investigation of invention of writing, diverse cultural concepts of literacy, earliest use of systematic notation systems in Mesopotamia, and current development of devices and practices that shape contemporary concepts of book of future. Discussion of historical development of technology (tablets, scrolls, codices, illumination and illustration techniques, paper and mass production, photography, digital tools), institutions (libraries, printing and publishing industries), cultural issues and politics (publishing, censorship, colonialism, globalization), formats and styles (type design, graphic design, aesthetics), and some important figures and events in book history. Focused on Western traditions, but not to exclusion of developments in Asia, Near East, Islamic empire, and elsewhere, and questions of cultural diffusion and diversity encouraged. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,technolog
1156,Historical Methodology of Information Studies,281,"Lecture, four hours. Requisite: course 200. Introduction to historical research as it relates to library and information science. Identification of key primary and secondary source material for writing history in field. Critical analysis of selected histories of various areas in the profession. Problem-oriented approach. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,inform
1302,History and Systems of Psychology,290,"Seminar, two hours. Requisites: courses 251A, 251B, 251C. Rich and detailed examination of history of full scope of psychology as scientific discipline, with particular emphasis on cognitive, social/personality, developmental, and biological aspects of discipline. Broad treatment of how various emphases within broader field have evolved. S/U or letter grading.",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,system
1319,"Social and Historical Study of Information, Software, and Networks",131,"Lecture, three hours. Introduction to critical study of information technology, software, and networks. Thematic focus on history of software, operating systems and networks, free/open source software, standards, intellectual property, and telecommunications regulation. Theoretical focus on publics and public spheres, network theories, and theories of information society. Particular attention to relationship of information technology to scientific and engineering practices and life sciences. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,histor,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=histor&funsel=1,inform
1412,Los Angeles Tech City: Digital Technologies and Spatial Justice,30,"Lecture, two and one half hours; studio, two hours. Investigation of spatial justice and injustice in multi-ethnic city of Los Angeles through Lens of three thematic technologies that built and transformed Los Angeles into global metropolis: cars and highways, networking technologies culminating in Internet and World Wide Web, and film and broadcast media. Use of innovative forms of investigation and communication, from digital mapping to video-sensing, to integrate interpretative and historical approaches of humanities with material and projective practices of design. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,justic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=justic&funsel=1,digit
1443,Noncitizens in the Criminal Justice System,603,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,justic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=justic&funsel=1,system
1444,The Criminal (in) Justice System,613,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,justic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=justic&funsel=1,system
1451,Reenvisioning the Lawyer's Role: Trauma Informed Lawyering and Restorative/Transformative Justice,952,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,justic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=justic&funsel=1,inform
1500,Cyberspace Law and Policy,205,"Lecture, four hours. Legal and policy concerns of networked technologies from international perspective. Emphasis on jurisdictional issues, freedom of expression, intellectual property, privacy, security, equity, and electronic commerce in online environment. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,cyber
1518,Cybersecurity Law and Policy,232,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,cyber
1563,Religious Legal Systems: Jewish Law,335,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,system
1670,News Media Law in the Digital Age,683,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,digit
1697,"Intelligence, Testing, and the Law",907,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,intellig
1703,"The Blockchain: Technology, Law and Regulation",932,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,technolog
1704,Information Technology Law,935,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,inform
1712,Reenvisioning the Lawyer's Role: Trauma Informed Lawyering and Restorative/Transformative Justice,952,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,inform
1740,Public Law and Judicial Process: Anglo-American Legal System,145A,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Evolution of English common law courts and their legal system, with emphasis on development of basic concepts of law which were received from that system in U.S. and remain relevant today. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,process
1741,Public Law and Judicial Process: Constitutional Law--Separation of Powers,145B,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Constitutional questions concerning separation of powers, federalism, and relationship between government and property. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,process
1742,Public Law and Judicial Process: Constitutional Law--Civil Liberties,145C,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Protection of civil and political rights and liberties under constitution. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,process
1743,Public Law and Judicial Process: Judicial Oversight of Bureaucracy,145D,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Legal controls of administration action. Substantive and procedural limits on administrative discretion imposed by legislation, executive and judicial agencies, and sources of legal powers of administrative bodies within these limits. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,process
1744,Public Law and Judicial Process: Constitutional Law--Rights of Accused,145E,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Constitutional rights of persons suspected, accused, and convicted of crimes, with attention to how protections have changed through history. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,process
1759,"Biotechnologies, Law, and Body",162,"Seminar, three hours. Notions of bodily integrity, privacy, right to life, and to choose to die have created perception that our bodies are protected by law, that somehow we possess ownership and control over our bodies, encompassing not only our physical being but intangible information contained within our materialized forms. Question of whether these rights to our own bodies exist and are secured by common and Constitutional law, in light of recent developments in biotechnology. Introduction to political and legal discourse of rights. Historical perspective of how law and policy have treated our bodies. Legal and policy issues emerging from new biotechnological developments. Examination of reproductive issues, including abortion, assisted reproduction, disputes regarding disposition of embryos, preimplantation genetic testing, cloning, and genetic enhancements. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,law,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=law&funsel=1,technolog
1767,Tribal Legal Systems,228A,"Seminar, two hours. Course 228A is enforced requisite to 228B. Study of traditional and contemporary legal systems of Native American tribal nations. Detailed examination of several different tribal systems, including Navajo, Cherokee, Iroquois, and Hopi, with emphasis on diversity of tribal legal regimes, comparisons with Anglo-American legal system, changes in tribal systems during period of contact with non-Indians, and relationship between tribes' legal systems and other aspects of their cultures, such as religion and social structure. Independent research paper with focus on contemporary or historic topic required. Concurrently scheduled with Law 528. In Progress grading (credit to be given only on completion of course 228B).",Units: 3 or 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,system
1768,Tribal Legal Systems,228B,"Seminar, two hours. Enforced requisite: course 228A. Continuation of course 228A. Study of traditional and contemporary legal systems of Native American tribal nations. Detailed examination of several different tribal systems, including Navajo, Cherokee, Iroquois, and Hopi, with emphasis on diversity of tribal legal regimes, comparisons with Anglo-American legal system, changes in tribal systems during period of contact with non-Indians, and relationship between tribes' legal systems and other aspects of their cultures, such as religion and social structure. Independent research paper with focus on contemporary or historic topic required. Concurrently scheduled with Law 528. S/U or letter grading.",Units: 1 or 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,system
1782,Legal Information Resources and Libraries,258,"Lecture, four hours. Introduction to information resources in law, with emphasis on primary authority and indexes to legal literature. Legal research skills. Law library services and management. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,inform
1788,Religious Legal Systems: Jewish Law,335,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,system
