,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL,new
254,  NETWORK SECURITY,ECE 478,"Basic concepts and techniques in network security, risks and vulnerabilities, applied cryptography and various network security protocols. Coverage of high-level concepts such as authentication, confidentiality, integrity, and availability applied to networking systems. Fundamental techniques including authentication protocols, group key establishment and management, trusted intermediaries, public key infrastructures, SSL/TLS, IPSec, firewalls and intrusion detection. CROSSLISTED as CS 478.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/ece/,
256,  POWER SYSTEM ANALYSIS,ECE 533,"Fundamentals and control of real and reactive power, steady-state load flow studies, unbalance, stability and transient system analysis.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,power,https://catalog.oregonstate.edu/courses/ece/,system
257,  POWER SYSTEM PROTECTION,ECE 536,"Fundamentals of protective relaying. Relay input sources. Generation, transmission, and distribution systems protection. Stability and load shedding.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,power,https://catalog.oregonstate.edu/courses/ece/,system
258,  DATA SECURITY AND CRYPTOGRAPHY,ECE 575,"Secret-key and public-key cryptography, authentication and digital signatures, protocols, implementation issues, privacy enhanced mail, data and communication security standards.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/ece/,data
259,  CYBER-SECURITY,ECE 578,"A broad overview of the field of computer and network security. Essential cryptographic mechanisms such as symmetric and public-key cryptography (e.g., encryption, signatures), network security and authentication protocols (e.g., Kerberos, TLS, IPSec), system security (e.g., access control, firewalls), advanced topics (e.g., searchable encryption, cloud security, secure computation). CROSSLISTED as CS 578.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/ece/,cyber
260,"  THE SCIENCE, ENGINEERING AND SOCIAL IMPACT OF NANOTECHNOLOGY",ENGR 221,"Nanotechnology is an emerging engineering field that manipulates atoms and molecules to fabricate new materials and tiny devices. Properties of nanostructured materials, manufacturing methods, characterization methods, and impact on health and safety. Benefits and concerns about nanotechnology will be assessed. Lec/rec. CROSSLISTED as MATS 221.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/engr/,technolog
335,  FIXED INCOME SECURITIES,FIN 440,"Provides students with intermediate knowledge of fixed income assets, interest rate and interest rate theory, the tools for estimating values, and managing portfolios of fixed income assets. The course can also serve as a partial coverage of material expected of applicants planning on seeking the Certified Financial Analyst designation.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/fin/,
364,  SOFTWARE TOOLS IN QUANTITATIVE SOCIAL SCIENCE RESEARCH,FES 202,"Develop and apply software skills to analyze quantitative social science data, then interpret and present results. Using software, students will conduct statistical analysis of primary and/or secondary data (for example, their own survey data or data from sources such as the US Census American Community Survey). ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/fes/,softwar
395,"  GEOSPATIAL PERSPECTIVES ON INTELLIGENCE, SECURITY, AND ETHICS",GEOG 464,"Applications and implications of geospatial science (GIS, remote sensing, and spatial analysis) in intelligence, human, environmental, and ethical domains. Concepts and practices of ethics in geospatial science, including data access, management, visualization, and decision-making. Equivalent course is GEO 567. ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,ethic,https://catalog.oregonstate.edu/courses/geog/,intellig
396,"  GEOSPATIAL PERSPECTIVES ON INTELLIGENCE, SECURITY, AND ETHICS",GEOG 464,"Applications and implications of geospatial science (GIS, remote sensing, and spatial analysis) in intelligence, human, environmental, and ethical domains. Concepts and practices of ethics in geospatial science, including data access, management, visualization, and decision-making. Equivalent course is GEO 567. ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/geog/,intellig
399,  SOCIAL-ECOLOGICAL SYSTEMS,GEOG 512,"Exploration of critical debates surrounding theories associated with social-ecological systems, resilience, vulnerability, adaptation, social learning, transformation, adaptive governance. Equivalent course is GEO 554. ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/geog/,system
400,"  GEOSPATIAL PERSPECTIVES ON INTELLIGENCE, SECURITY, AND ETHICS",GEOG 564,"Applications and implications of geospatial science (GIS, remote sensing, and spatial analysis) in intelligence, human, environmental, and ethical domains. Concepts and practices of ethics in geospatial science, including data access, management, visualization, and decision-making. Equivalent course is GEO 567. ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,ethic,https://catalog.oregonstate.edu/courses/geog/,intellig
401,"  GEOSPATIAL PERSPECTIVES ON INTELLIGENCE, SECURITY, AND ETHICS",GEOG 564,"Applications and implications of geospatial science (GIS, remote sensing, and spatial analysis) in intelligence, human, environmental, and ethical domains. Concepts and practices of ethics in geospatial science, including data access, management, visualization, and decision-making. Equivalent course is GEO 567. ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/geog/,intellig
403,"  COASTAL HAZARDS: PROCESSES, RESPONSE, AND ADAPTATION",GEO 550,"Coastal hazards and the associated risks they pose to rapidly expanding coastal communities. Examination of coastal hazards from a trans-disciplinary perspective including the physical processes, the coastal response, and coastal adaptation/management options for dealing with the hazards. Emphasizes probabilistic and other user-inspired approaches for assessing coastal vulnerability to the various hazards.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,respons,https://catalog.oregonstate.edu/courses/geo/,process
574,  SOCIAL PROGRAM AND POLICY EVALUATION,HDFS 534,Models of evaluation and application of applied research methods to social programs and policies.  ,4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/hdfs/,program
575,  SOCIAL PROGRAM AND POLICY EVALUATION,HDFS 534,Models of evaluation and application of applied research methods to social programs and policies.  ,4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,valu,https://catalog.oregonstate.edu/courses/hdfs/,program
576,  SOCIAL PROGRAM AND POLICY EVALUATION,HDFS 534,Models of evaluation and application of applied research methods to social programs and policies.  ,4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,polic,https://catalog.oregonstate.edu/courses/hdfs/,program
598,"  THE SCIENCE, ENGINEERING AND SOCIAL IMPACT OF NANOTECHNOLOGY",MATS 221,"Nanotechnology is an emerging engineering field that manipulates atoms and molecules to fabricate new materials and tiny devices. Properties of nanostructured materials, manufacturing methods, characterization methods, and impact on health and safety. Benefits and concerns about nanotechnology will be assessed. Lec/rec. CROSSLISTED as ENGR 221.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/mats/,technolog
603,  ADVANCED POWER GENERATION SYSTEMS,ME 544,"Thermal mechanical evaluation of modern power generation technologies, including fossil and nuclear Rankine cycle power plants, gas turbines, cogeneration power plants, distributed power generation and fuel cells. Lec/rec.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,power,https://catalog.oregonstate.edu/courses/me/,system
624,  *SOCIETAL ASPECTS OF NUCLEAR TECHNOLOGY,NSE 319,Description and discussion of nuclear-related issues as they impact society. (Bacc Core Course)  ,3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,societ,https://catalog.oregonstate.edu/courses/nse/,technolog
625,  NUCLEAR SECURITY SCIENCE,NSE 522,"Explores the nuclear fuel cycle from the perspective of nuclear security and safeguards and in the context of current international nuclear policies. Nuclear threats are balanced with the past history of nuclear weapons use, current nonproliferation technology, and the future international growth of the nuclear industry. Critical thinking will be assessed by way of in-class discussions, journal article reviews, written analysis of fuel cycle signatures, and conducting research. Signatures including radiological and morphological characteristics of nuclear material is introduced as well as the techniques for the detection of special nuclear materials. ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/nse/,
626,  NUCLEAR SECURITY SYSTEM DESIGN,NSE 525,"Studies the science and engineering associated with the design, evaluation, and implementation of systems to secure nuclear and radiological materials. Topics include adversary characterization, target categorization and the consequences of failure to protect targets, detection and delay technologies, on-site and off-site response and response strategies, insider threat evaluation, and mathematical methods for evaluating risk due to the threat and the security system design. Students will become familiar with the components of a sustainable nuclear security program and their interconnections, and learn about the planning of nuclear security activities at both the state and facility level. ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/nse/,system
627,  APPLIED DETECTION FOR NUCLEAR SECURITY,NSE 534,Applied detection techniques currently being deployed globally for nuclear security are presented in lectures and explored in practical exercises. A prominent feature of this class is the unique opportunity to complete the Nuclear Security Education Program (NSEP) Training program hosted at the HAMMER federal training center. ,3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/nse/,
630,  FOOD AND NUTRITION PROGRAM MANAGEMENT AND EVALUATION,NUTR 552,"Introduction to the evaluation of outcomes and impacts of food/nutrition-related systems, performance, interventions, programs and/or policies. Application of methods used to appraise problems or activities, as well to conceptualize, create, implement and administer evaluations in order to make decisions regarding their outcomes, impacts, efficiency and cost effectiveness. A case study approach across a range of food and nutrition-related public, government and private organizations will introduce the breadth of approaches in such evaluations. ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,valu,https://catalog.oregonstate.edu/courses/nutr/,program
751,  JUDICIAL PROCESS AND POLITICS,PS 326,"Study of the operation, processes, behavior and influence of the state and federal judiciaries, as well as current research in the judiciary as it relates to politics.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,polit,https://catalog.oregonstate.edu/courses/ps/,process
787,  TERRORISM AND GLOBAL SECURITY,PS 428,Examines US and global security in light of the challenges posed by terrorist organizations. ,4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/ps/,
810,  TERRORISM AND GLOBAL SECURITY,PS 528,Examines US and global security in light of the challenges posed by terrorist organizations. ,4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/ps/,
854,  ^PLANNING AND EVALUATING HEALTH PROMOTION PROGRAMS,H 476,"A systematic approach to planning, implementing and evaluating health promotion programs in a variety of health related settings. Students will be writing a series of drafts to effectively develop a health promotion program plan. (Writing Intensive Course)  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,valu,https://catalog.oregonstate.edu/courses/h/,program
857,  CRITICAL ASSESSMENT OF INTERNATIONAL HEALTH PROGRAMS,H 527,"Introduces the critical evaluation framework of assessing international health development programs, based on self-determination and community ownership principles. The framework of assessment method includes three levels: upstream evaluation, midstream evaluation, and downstream evaluation.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,critic,https://catalog.oregonstate.edu/courses/h/,program
865,  EVALUATION OF HEALTH PROMOTION AND EDUCATION PROGRAMS,H 575,"Provides theoretical and practical bases for program evaluation. Develops basic skills in a variety of approaches to evaluation, including techniques that are particularly suitable for evaluating health promotion, community health improvement, and related health and social services programs. Course learning is synthesized through designing an evaluation framework and methodology for a relevant program.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,valu,https://catalog.oregonstate.edu/courses/h/,program
870,"  GLOBAL HEALTH SYSTEMS, POLICY AND POLITICS",H 622,"Focuses on learning to identify key stakeholders in the politics of global health, and to be able to describe political and policy processes involved in negotiating global health decisions. Employment of theories and evidence from both the global North and South to explain political processes affecting public health practice and programs.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,polit,https://catalog.oregonstate.edu/courses/h/,system
871,"  GLOBAL HEALTH SYSTEMS, POLICY AND POLITICS",H 622,"Focuses on learning to identify key stakeholders in the politics of global health, and to be able to describe political and policy processes involved in negotiating global health decisions. Employment of theories and evidence from both the global North and South to explain political processes affecting public health practice and programs.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,polic,https://catalog.oregonstate.edu/courses/h/,system
982,  SOCIAL ROBOTICS,ROB 568,"In-depth exploration of the leading research, design principles, and challenges in Human-Robot Interaction (HRI), with an emphasis on socially interactive robots. Topics include social embodiment, multi-modal communication, human-robot teamwork, social learning, aspects of social psychology and cognition, as well as applications and evaluation with human subjects. Requires participation, lightning talks, student-led lectures, written critiques of class readings, and a group project involving a hypothetical social robotics project. ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/rob/,robot
1012,  *SCIENCE AND TECHNOLOGY IN SOCIAL CONTEXT,SOC 456,"Study of social aspects of science and technology (values, practices, organization, impacts) by analysis of issues revealing their relationship to other social and cultural processes. (Bacc Core Course)  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/soc/,technolog
1030,  SCIENCE AND TECHNOLOGY IN SOCIAL CONTEXT,SOC 556,"Study of social aspects of science and technology (values, practices, organization, impacts) by analysis of issues revealing their relationship to other social and cultural processes.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/soc/,technolog
1049,  INFORMATION AND GLOBAL SOCIAL JUSTICE,UEXP 290,"In preparing for any trip, many questions come up. In this course you will ask yourself questions, from the simple to the more complex. We will begin class on the OSU campus and continue on location in Spain or Italy. In-country, you will immerse in the local culture via a homestay, participate in service-learning, visit museums, explore cultural and historic locations, and attend lectures. While seeking answers to our questions we will reflect on the forces (politics, access, linguistic, economic, etc.) that affect the information available to us. This class has no language requirement. ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,justic,https://catalog.oregonstate.edu/courses/uexp/,inform
1050,  INFORMATION AND GLOBAL SOCIAL JUSTICE,UEXP 290,"In preparing for any trip, many questions come up. In this course you will ask yourself questions, from the simple to the more complex. We will begin class on the OSU campus and continue on location in Spain or Italy. In-country, you will immerse in the local culture via a homestay, participate in service-learning, visit museums, explore cultural and historic locations, and attend lectures. While seeking answers to our questions we will reflect on the forces (politics, access, linguistic, economic, etc.) that affect the information available to us. This class has no language requirement. ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/uexp/,inform
1069,  *GENDER AND TECHNOLOGY,WGSS 320,Explores women's contributions and focuses in technology fields. Analyzes gendered nature of technology. Theory and practice of technologies. (Bacc Core Course)  ,3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,gender,https://catalog.oregonstate.edu/courses/wgss/,technolog
1121,  GENDER AND TECHNOLOGY,WGSS 525,Explores women's contributions and focuses in technology fields. Analyzes gendered nature of technology. Theory and practice of technologies for change and activism.  ,3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,gender,https://catalog.oregonstate.edu/courses/wgss/,technolog
1169,  ACCOUNTING INFORMATION MANAGEMENT,ACTG 378,"Introduces students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, the system life cycle model, systems analysis and design methodologies, and the development and implementation of information systems. Lec/rec.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2018-19,account,https://catalog.oregonstate.edu/archives/2018-2019/courses/actg/,inform
1170,  ACCOUNTING INFORMATION MANAGEMENT,ACTG 378H,"Introduces students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, the system life cycle model, systems analysis and design methodologies, and the development and implementation of information systems. Lec/rec. ",4 Credits,Not Listed,Not Listed,Oregon State University,2018-19,account,https://catalog.oregonstate.edu/archives/2018-2019/courses/actg/,inform
1171,  ACCOUNTING ANALYTICS,ACTG 379,Covers the analysis of data as it pertains to accounting professionals. The focuses include analytic techniques for decision making and the examination of “big data” involving accounting information. Hands-on experiences will develop skills with select software tools used in data analytics for accounting professionals. ,4 Credits,Not Listed,Not Listed,Oregon State University,2018-19,account,https://catalog.oregonstate.edu/archives/2018-2019/courses/actg/,analyt
1176,  ACCOUNTING CODES OF PROFESSIONAL CONDUCT AND ETHICAL BEHAVIOR,ACTG 418,"Explores ethical reasoning, integrity, objectivity, independence and other core values as defined by the American Institute of Certified Public Accountants. ",2 Credits,Not Listed,Not Listed,Oregon State University,2018-19,account,https://catalog.oregonstate.edu/archives/2018-2019/courses/actg/,code
1177,  ACCOUNTING CODES OF PROFESSIONAL CONDUCT AND ETHICAL BEHAVIOR,ACTG 418,"Explores ethical reasoning, integrity, objectivity, independence and other core values as defined by the American Institute of Certified Public Accountants. ",2 Credits,Not Listed,Not Listed,Oregon State University,2018-19,ethic,https://catalog.oregonstate.edu/archives/2018-2019/courses/actg/,code
1188,  PROGRAM EVALUATION,AHE 532,"Assessing outcomes in college curriculum and workplace training programs from a systems perspective and evaluation of program effectiveness. Particular emphasis on formative and summative evaluation, frameworks for program evaluation, quantitative and qualitative methods and analysis, communicating and reporting evaluation findings, and the ethics and standards of evaluation practice.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2018-19,valu,https://catalog.oregonstate.edu/archives/2018-2019/courses/ahe/,program
1200,  NATIONAL SECURITY AFFAIRS,AS 411,"Emphasis on the needs for national security, evolution of American defense strategy, policy, and organization. Examination of methods for managing conflict, alliances and regional security to preserve American interests. Arms control, terrorism, and current military issues will also be addressed. Refinement of oral and written communication skills will be assessed.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2018-19,secur,https://catalog.oregonstate.edu/archives/2018-2019/courses/as/,
1201,  INSTRUMENTATION AND DATA COLLECTION IN SOCIAL SCIENCE,AED 640,"Addresses the selection, development, and analysis of various types of quantitative instruments and procedures for collecting research data. The course has a quantitative focus and is oriented toward social science research. Lec/lab.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2018-19,social,https://catalog.oregonstate.edu/archives/2018-2019/courses/aed/,data
1207,"  *EVOLUTION OF PEOPLE, TECHNOLOGY, AND SOCIETY",ANTH 330,"Overview of the evolution and prehistory of the human species, including the development and interaction of human biology, technology, and society. (SS) (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2018-19,societ,https://catalog.oregonstate.edu/archives/2018-2019/courses/anth/,technolog
1258,"  *PHOTOGRAPHY: HISTORY, TECHNOLOGY, CULTURE AND ART",ART 264,"Introduction to the history of photography through aesthetic, cultural and technical contexts. This course covers the history of photography and its technologies, photography in art, some photographers and their photographs and the purposes of photography. (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2018-19,histor,https://catalog.oregonstate.edu/archives/2018-2019/courses/art/,technolog
