,title,dept_num,description,credits,instructor,syllabus,university,term,keyword
1138,History of Books and Literacy Technologies,202,"Lecture, two hours; discussion, 90 minutes. Issues in history of books, writing, and literacy technologies. Investigation of invention of writing, diverse cultural concepts of literacy, earliest use of systematic notation systems in Mesopotamia, and current development of devices and practices that shape contemporary concepts of book of future. Discussion of historical development of technology (tablets, scrolls, codices, illumination and illustration techniques, paper and mass production, photography, digital tools), institutions (libraries, printing and publishing industries), cultural issues and politics (publishing, censorship, colonialism, globalization), formats and styles (type design, graphic design, aesthetics), and some important figures and events in book history. Focused on Western traditions, but not to exclusion of developments in Asia, Near East, Islamic empire, and elsewhere, and questions of cultural diffusion and diversity encouraged. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"histor,technolog"
1395,Los Angeles Tech City: Digital Technologies and Spatial Justice,30,"Lecture, two and one half hours; studio, two hours. Investigation of spatial justice and injustice in multi-ethnic city of Los Angeles through Lens of three thematic technologies that built and transformed Los Angeles into global metropolis: cars and highways, networking technologies culminating in Internet and World Wide Web, and film and broadcast media. Use of innovative forms of investigation and communication, from digital mapping to video-sensing, to integrate interpretative and historical approaches of humanities with material and projective practices of design. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"justic,technolog"
1679,"The Blockchain: Technology, Law and Regulation",932,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"law,technolog"
1680,Information Technology Law,935,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"law,technolog"
1732,"Biotechnologies, Law, and Body",162,"Seminar, three hours. Notions of bodily integrity, privacy, right to life, and to choose to die have created perception that our bodies are protected by law, that somehow we possess ownership and control over our bodies, encompassing not only our physical being but intangible information contained within our materialized forms. Question of whether these rights to our own bodies exist and are secured by common and Constitutional law, in light of recent developments in biotechnology. Introduction to political and legal discourse of rights. Historical perspective of how law and policy have treated our bodies. Legal and policy issues emerging from new biotechnological developments. Examination of reproductive issues, including abortion, assisted reproduction, disputes regarding disposition of embryos, preimplantation genetic testing, cloning, and genetic enhancements. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"law,technolog"
2302,"Privacy, Data and Technology",483,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"privac,technolog"
2645,Social Communication and New Technology,154,"(Formerly numbered Communication Studies 154.) Lecture, four hours. Internet's digital core was designed for military command. Yet emerging network was gradually co-opted to perform communicative functions such as gossip, dating, news, entertainment, and trade. Exploration of history, social effects, and possible futures of digital communication. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"social,technolog"
2694,"Science, Technology, and Social Research after Eurocentrism",274,"Lecture, four hours. Philosophy of natural sciences for social scientists that examines challenges to conventional research assumptions raised by multicultural and postcolonial science and technology studies that have emerged since World War II. Focus on sciences and technologies in third-world development projects, comparative ethnoscience movements, and new theories of knowledge and how to do maximally objective research emerging from these literatures. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"social,technolog"
2978,Biotechnology and Society,M71A,"(Formerly numbered General Education Clusters M71A.) (Same as Society and Genetics M71A.) Lecture, three hours; discussion, two hours. Course M71A is enforced requisite to M71B, which is enforced requisite to M71CW. Limited to first-year freshmen. Exploration of methods, applications, and implications of biotechnology and of ethical, social, and political implications as well as biological underpinnings. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
2979,Biotechnology and Society,M71B,"(Formerly numbered General Education Clusters M71B.) (Same as Society and Genetics M71B.) Lecture, three hours; discussion, two hours. Enforced requisite: course M71A. Limited to first-year freshmen. Exploration of methods, applications, and implications of biotechnology and of ethical, social, and political implications as well as biological underpinnings. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
2980,Biotechnology and Society: Special Topics,M71CW,"(Formerly numbered General Education Clusters M71CW.) (Same as Society and Genetics M71CW.) Seminar, three hours. Enforced requisite: course M71B. Limited to first-year freshmen. Topics include in-depth examination of ethics and human genetics, bioweapons and biodefense, sex and biotechnology. Satisfies Writing II requirement. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
2994,Technology and Society,2,"Lecture, two hours; discussion, one hour; outside study, three hours. Introduction of broader societal opportunities, impacts, and challenges associated with technology. Drawing from historical and contemporary examples, consideration of some of ethical, policy, and legal questions spurred by rapid technological change. Development of perspectives to take broad, contextualized view of role of technology in society. Letter grading.",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
2995,Ethics and Impact of Technology on Society,181EW,"Lecture, five hours; discussion, three hours; outside study, four hours. Requisite: English Composition 3. Not open for credit to students with credit for course 182EW, 183EW, or 185EW. Focuses on changing nature of technology and complex ethical issues that emerge as result in areas such as biotechnology, information technology, nanotechnology, and energy technology. Discussion of nature of these issues; their ethical, legal, and social ramifications; and what society values in relation to these issues. Exploration of philosophy, religion, and natural and social sciences in relation to these issues. Emphasis on research and writing within engineering environments. Writing and revision of about 20 pages total, including two individual technical essays and one team-written research report. Readings address technical issues and writing form. Satisfies engineering writing requirement. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
2996,Technology and Society,182EW,"Lecture, four hours; discussion, three hours; outside study, five hours. Requisite: English Composition 3, and one course from Civil Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170, Mechanical and Aerospace Engineering 174, or Statistics 100A. Not open for credit to students with credit for course 182EW, 183EW, or 185EW. Places engineering in broader societal context through examination of some of key ethical, legal, and regulatory issues and frameworks relevant to design and deployment of emerging technology products and services. Historical examination of ethical and legal frameworks generally and in relation to technology. Exploration of series of specific contemporary technology-related topics to examine their broader ramifications. Topics include driverless cars, algorithms and artificial intelligence, global supply chain for engineering products, cryptocurrencies and blockchain, net neutrality, and impact of technology on employment. Offers students tools enabling them to think more proactively and holistically about ethical and societal dimensions of their work as technology creators. Satisfies engineering writing requirement. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
3000,"Information, Technology, Business, and Society",260,"Seminar, three hours. Interdisciplinary research seminar to bring sound social sciences methods to latest technology developments to design effective information-based solutions to social problems. Topics include selection and framing of research questions, developing measurements, designing appropriate methods (e.g., surveys, experiments, using available data), ethical issues, and writing up research proposals. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
3063,Biotechnology and Society,M71A,"(Same as Clusters M71A.) Lecture, three hours; discussion, two hours. Course M71A is enforced requisite to M71B, which is enforced requisite to M71CW. Limited to first-year freshmen. Exploration of methods, applications, and implications of biotechnology and of ethical, social, and political implications as well as biological underpinnings. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
3064,Biotechnology and Society,M71B,"(Same as Clusters M71B.) Lecture, three hours; discussion, two hours. Enforced requisite: course M71A. Limited to first-year freshmen. Exploration of methods, applications, and implications of biotechnology and of ethical, social, and political implications as well as biological underpinnings. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
3065,Biotechnology and Society: Special Topics,M71CW,"(Same as Clusters M71CW.) Seminar, three hours. Enforced requisite: course M71B. Limited to first-year freshmen. Topics include in-depth examination of ethics and human genetics, bioweapons and biodefense, sex and biotechnology. Satisfies Writing II requirement. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
3072,Biotechnology and Society,130,"Lecture, three hours. Technical manipulation of living matter from humans, animals, and plants as scientific and social undertaking. How biotechnology came into existence. Questions, controversies, and changes that come with ability to make living technologies. Rise of engineering ideal in American biology. Biological modernism, ideas of immortality and technical suppression of death, molecularization of life, genetic engineering, food biotechnology, and control of reproduction. Practice and perception of living bodies as factories and machines. Changing economic and legal infrastructure of biological invention. Unfolding of contemporary social controversies concerning biotechnology. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"societ,technolog"
3225,"Science, Technology, and Public Policy",CM182,"(Formerly numbered Electrical Engineering CM182.) (Same as Public Affairs M164 and Public Policy CM182.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Concurrently scheduled with course CM282. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"polic,technolog"
3226,"Science, Technology, and Public Policy",CM282,"(Formerly numbered Electrical Engineering CM282.) (Same as Public Policy CM282.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Concurrently scheduled with course CM182. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"polic,technolog"
3314,"Operations and Technology Management: Systems, Strategies, and Policies",410,"(Formerly numbered Management 474.) Lecture, three hours. Limited to Executive MBA program students. Analysis of strategic and operating policies and decisions for systems that produce goods and services. Examination of role of comprehensive planning, inventories, scheduling of resources, distribution systems, and system location. Comprehensive operating problems.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"polic,technolog"
3348,"Science, Technology, and Public Policy",M164,"(Same as Electrical and Computer Engineering CM182 and Public Policy CM182.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"polic,technolog"
3358,"Science, Technology, and Public Policy",CM182,"(Same as Electrical and Computer Engineering CM182 and Public Affairs M164.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Concurrently scheduled with course CM282. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"polic,technolog"
3385,"Science, Technology, and Public Policy",CM282,"(Same as Electrical and Computer Engineering CM282.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Concurrently scheduled with course CM182. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"polic,technolog"
3386,Policy Analysis of Emerging Environmental Technologies,M286,"(Same as Urban Planning M268.) Lecture, three hours. Acquisition and utilization of economic, finance, planning, and policy analytic tools needed to evaluate factors that drive market adoption from early to middle market phases. Rooftop solar, electric vehicle, and energy efficiency as focal examples, with emphasis on role of policy and planning incentives intended to spur adoption. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"polic,technolog"
3434,Policy Analysis of Emerging Environmental Technologies,M268,"(Same as Public Policy M286.) Lecture, three hours. Acquisition and utilization of economic, finance, planning, and policy analytic tools needed to evaluate factors that drive market adoption from early to middle market phases. Rooftop solar, electric vehicle, and energy efficiency as focal examples, with emphasis on role of policy and planning incentives intended to spur adoption. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"polic,technolog"
2301,Privacy versus National Security,165,"Seminar, four hours. Designed for College Honors students. Edward Snowdon's disclosures of extent of government surveillance conducted by National Security Agency sparked national debate about scope and necessity of government surveillance programs. What is proper balance between privacy and national security in information age? Study of debate about constitutional values and moral responsibility, complicated by public fear, competing commercial interests, and international legal and diplomatic quandaries. P/NP or letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,privac
2302,"Privacy, Data and Technology",483,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,privac
2576,National Security Affairs/Preparation for Active Duty,140A,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2577,National Security Affairs/Preparation for Active Duty,140B,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2578,National Security Affairs/Preparation for Active Duty,140C,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2579,Hunger and Food Insecurity as Public Health Issues,233,"Lecture, three hours. Designed for graduate students. Public health aspects of hunger and food insecurity in historical and international perspectives, including measurement and identification of vulnerability, prevention, and options for relieving acute food shortage. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2580,Public Health and National Security at U.S.-Mexico Border,440,"Lecture, two hours; discussion, one hour; research and literature review, one hour. Designed for graduate students. Exploration of community and environmental health and health services issues that are present along U.S.-Mexico and coastal California borders. Integrated within public health framework are issues and mitigation of national security and disaster/terrorist risks and hazards. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2581,Introduction to Computer Security,136,"Lecture, four hours; discussion, two hours; outside study, six hours. Enforced requisite: course 118. Introduction to basic concepts of information security necessary for students to understand risks and mitigations associated with protection of systems and data. Topics include security models and architectures, security threats and risk analysis, access control and authentication/authorization, cryptography, network security, secure application design, and ethics and law. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2582,Computer Security,236,"Lecture, four hours; outside study, eight hours. Requisites: courses 111, 118. Basic and research material on computer security. Topics include basic principles and goals of computer security, common security tools, use of cryptographic protocols for security, security tools (firewalls, virtual private networks, honeypots), virus and worm protection, security assurance and testing, design of secure programs, privacy, applying security principles to realistic problems, and new and emerging threats and security tools. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2583,Seminar: Practical Aspects of Biosafety and Biosecurity,213,"Seminar/discussion, two hours. Preparation: one year of introductory biology. Recommended requisite: Microbiology 101 or 102. Designed for environmental health sciences graduate students and students in UCLA Biosafety Training Program. Interactive seminar with focus on critical concepts in and practical aspects of biosafety, biosecurity, risk assessment, and risk management that are needed for individuals wishing to serve as interns in UCLA biosafety program and/or become biosafety professionals. S/U or letter grading.",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2584,Human Security and Environmental Change,258,"(Formerly numbered 228.) Seminar, three hours. Discussion of impact of environmental change on food, water, and physical security of human populations and societies' adaptations to environmental change. Topics vary from year to year. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2585,Privacy versus National Security,165,"Seminar, four hours. Designed for College Honors students. Edward Snowdon's disclosures of extent of government surveillance conducted by National Security Agency sparked national debate about scope and necessity of government surveillance programs. What is proper balance between privacy and national security in information age? Study of debate about constitutional values and moral responsibility, complicated by public fear, competing commercial interests, and international legal and diplomatic quandaries. P/NP or letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2586,Cybersecurity Law and Policy,232,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2587,Securities Regulation,236,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2588,Secured Transactions,250,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2589,National Security Law,269,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2590,Corporate Finance: Securities Markets and Corporate Value,447,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2591,Corporate Law & Securities Regulations,506,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2592,National Security and Civil Liberties,571,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2593,Regulation of the Securities Market Structure,605,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2594,Secured Financing Transactions,745,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2595,Strategizing Secured Transactions,761,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2596,Securities Litigation and Enforcement,943,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2597,"Real Estate Economics, Capital Markets, and Securitization",279C,"Lecture, three hours. Exploration of linkages between real estate, macroeconomy, and capital markets. New insights as to structure and practice of macroeconomic regulation, crisis policy formulation, and related capital markets and real estate outcomes. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2598,Arms Control and International Security  ,125A,"Lecture, three or four hours; discussion, one hour (when scheduled). Designed for juniors/seniors. Arms control in context of international security in nuclear age. Nuclear arms race; relationship between deterrence doctrines and nuclear war; roles of technology and ideology; nuclear proliferation; outer space. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2599,"Workshop: National Security, Foreign Policy, and International Relations",234A,"Discussion, two hours. Course 234A is requisite to 234B, which is requisite to 234C. Courses must be taken in sequence. Open to graduate students who have successfully completed major examinations and intended for students preparing for or working on dissertations. Reading and discussion of research in progress presented by UCLA faculty, visiting scholars, and advanced graduate students. Major research paper required. In Progress grading (credit to be given only on completion of courses 234B and 234C).",Units: 0,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2600,"Workshop: National Security, Foreign Policy, and International Relations",234B,"Discussion, two hours. Requisite: course 234A. Courses must be taken in sequence. Open to graduate students who have successfully completed major examinations and intended for students preparing for or working on dissertations. Reading and discussion of research in progress presented by UCLA faculty, visiting scholars, and advanced graduate students. Major research paper required. In Progress grading (credit to be given only on completion of course 234C).",Units: 0,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
2601,"Workshop: National Security, Foreign Policy, and International Relations",234C,"Discussion, two hours. Requisite: course 234B. Courses must be taken in sequence. Open to graduate students who have successfully completed major examinations and intended for students preparing for or working on dissertations. Reading and discussion of research in progress presented by UCLA faculty, visiting scholars, and advanced graduate students. Major research paper required. Letter grading.",Units: 12,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur
